timestamp_ms,ax,ay,az,label
3020059,-0.98999,-0.020508,0.0,left
3020080,-0.987549,-0.022217,-0.01001,left
3020101,-0.98584,-0.008789,-0.011475,left
3020122,-0.995361,-0.016846,-0.007568,left
3020143,-0.987549,-0.01416,-0.002441,left
3020164,-0.98877,-0.011963,-0.012207,left
3020185,-0.992432,-0.004395,-0.015381,left
3020206,-1.002441,-0.011719,-0.015137,left
3020227,-0.988037,-0.011719,-0.011963,left
3020248,-0.995605,-0.022705,-0.007813,left
3020269,-0.988281,-0.02124,-0.019775,left
3020290,-0.994629,-0.015137,-0.019531,left
3020311,-0.989014,-0.008301,-0.01123,left
3020332,-0.992676,-0.015625,-0.009277,left
3020353,-0.983398,-0.012695,-0.01123,left
3020374,-0.985107,-0.005615,0.001465,left
3020395,-0.994873,-0.015137,-0.002441,left
3020416,-0.985107,-0.012207,0.000488,left
3020437,-0.994873,-0.017334,0.002441,left
3020458,-0.986816,-0.018799,-0.003906,left
3020479,-0.994629,-0.016357,-0.009521,left
3020500,-0.993408,-0.016846,-0.013428,left
3020521,-0.991455,-0.015137,-0.012695,left
3020542,-0.989746,-0.015625,-0.014404,left
3020563,-0.991211,-0.02002,-0.018066,left
3020584,-0.995361,-0.01709,-0.019775,left
3020605,-0.996094,-0.009521,-0.016602,left
3020626,-1.003906,-0.010498,-0.01416,left
3020647,-0.98877,-0.001709,0.000488,left
3020668,-0.99292,-0.016113,0.002197,left
3020689,-0.977783,-0.005859,-0.00415,left
3020710,-0.984131,-0.005859,0.008301,left
3020731,-0.976318,-0.007568,0.001709,left
3020752,-0.993164,-0.023437,-0.003174,left
3020773,-0.997803,-0.017578,-0.006836,left
3020794,-0.994385,-0.01001,-0.023682,left
3020815,-1.012939,-0.021729,-0.019531,left
3020836,-0.990967,-0.02002,-0.023926,left
3020857,-0.996094,-0.001465,-0.029297,left
3020878,-0.996826,-0.007568,-0.018066,left
3020899,-0.981934,-0.009277,-0.011475,left
3020920,-0.98584,-0.00708,0.000488,left
3020941,-0.985352,-0.008789,-0.002686,left
3020962,-0.984375,-0.008057,-0.006836,left
3020983,-0.989746,-0.01123,-0.004639,left
3021004,-0.989746,-0.009277,-0.010254,left
3021025,-1.008301,-0.021484,-0.016113,left
3021046,-0.994629,-0.011719,-0.023437,left
3021067,-0.994629,-0.003418,-0.021729,left
3021088,-0.996094,-0.009277,-0.01709,left
3021109,-0.990234,-0.013672,-0.021973,left
3021130,-0.97998,-0.011963,-0.02417,left
3021151,-0.984131,-0.011963,-0.016113,left
3021172,-0.992676,-0.011475,-0.007568,left
3021193,-0.991455,-0.02002,-0.02002,left
3021214,-0.981934,-0.002197,-0.016357,left
3021235,-0.996338,-0.016113,-0.01123,left
3021256,-0.989258,-0.013428,-0.011719,left
3021277,-0.989502,-0.010254,-0.016602,left
3021298,-0.990723,-0.013428,-0.022217,left
3021319,-0.994629,-0.008545,-0.031494,left
3021345,-0.987061,-0.007568,-0.028809,left
3021366,-0.984131,-0.005615,-0.046631,left
3021387,-0.988281,-0.012207,-0.02832,left
3021408,-0.990479,-0.018311,-0.034424,left
3021429,-0.991211,-0.015381,-0.034424,left
3021450,-0.990967,-0.006348,-0.0354,left
3021471,-1.002197,-0.016602,-0.025635,left
3021492,-0.980469,-0.006104,-0.027832,left
3021513,-0.990723,-0.009277,-0.034424,left
3021534,-0.98999,-0.018066,-0.034668,left
3021555,-0.997559,-0.019043,-0.029785,left
3021576,-0.983154,-0.001709,-0.034912,left
3021597,-0.974365,-0.000977,-0.029541,left
3021618,-0.991943,-0.022949,-0.024658,left
3021639,-0.990234,-0.021484,-0.026367,left
3021660,-0.98584,-0.01416,-0.039063,left
3021681,-0.992187,-0.01709,-0.032715,left
3021702,-0.977539,-0.002197,-0.032715,left
3021723,-1.008301,-0.021484,-0.030273,left
3021744,-0.984131,-0.002441,-0.037598,left
3021765,-0.999512,-0.016357,-0.037598,left
3021786,-0.989258,-0.009766,-0.035156,left
3021807,-0.993652,-0.014404,-0.0271,left
3021828,-0.986816,-0.009766,-0.032715,left
3021849,-0.993652,-0.015137,-0.0354,left
3021870,-0.989014,-0.016357,-0.037598,left
3021891,-0.985107,-0.010742,-0.038574,left
3021912,-0.981201,-0.010498,-0.031006,left
3021933,-0.989014,-0.016357,-0.028564,left
3021954,-0.994873,-0.012939,-0.034424,left
3021975,-0.991455,-0.018066,-0.038086,left
3021996,-0.990967,-0.010986,-0.032227,left
3022017,-0.986084,-0.006348,-0.033691,left
3022038,-0.993896,-0.01709,-0.026855,left
3022059,-0.989258,-0.013184,-0.029541,left
3022080,-0.980469,-0.009277,-0.032715,left
3022101,-0.986084,-0.013672,-0.0271,left
3022122,-0.995605,-0.018555,-0.039307,left
3022143,-0.991211,-0.01123,-0.031006,left
3022164,-0.990967,-0.011963,-0.034668,left
3022185,-0.990967,-0.01416,-0.0354,left
3022206,-0.986816,-0.007324,-0.031494,left
3022227,-0.992432,-0.009277,-0.032227,left
3022248,-0.987793,-0.01709,-0.037598,left
3022269,-0.990479,-0.016846,-0.030273,left
3022290,-0.989746,-0.015625,-0.02832,left
3022311,-0.981201,-0.005371,-0.030029,left
3022332,-0.993408,-0.013916,-0.031494,left
3022353,-0.990234,-0.012207,-0.033936,left
3022374,-0.996826,-0.01709,-0.034668,left
3022395,-0.986328,-0.012207,-0.032959,left
3022416,-0.983643,-0.014404,-0.035156,left
3022437,-0.990479,-0.011475,-0.033691,left
3022458,-0.99292,-0.01416,-0.031982,left
3022479,-0.986572,-0.014404,-0.037598,left
3022500,-0.991211,-0.012695,-0.038086,left
3022521,-0.990479,-0.018555,-0.024658,left
3022542,-0.990479,-0.013916,-0.038086,left
3022563,-0.987549,-0.008545,-0.035889,left
3022584,-0.985596,-0.015869,-0.037598,left
3022605,-0.984863,-0.00708,-0.038086,left
3022626,-0.989746,-0.016846,-0.039795,left
3022647,-0.996338,-0.019043,-0.039551,left
3022668,-0.983887,-0.013672,-0.038574,left
3022689,-0.98877,-0.012939,-0.035156,left
3022710,-0.983154,-0.004395,-0.041016,left
3022731,-0.998047,-0.02417,-0.028809,left
